内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
华晨宇:“火星人它，因为，其实是已经陪伴了我七年了，我觉得我们是彼此相互在守护的，所以我觉得歌迷于我而言，是对我来说是非常重要的，然后，我也非常的珍惜他们。”,2021-01-23 05:35:14+08:00,疯人院里的Lydia,1800072503,3855,107,f,0,12,4596402916950049
大哥你真的？！,2021-01-22 17:56:53+08:00,爱野美奈子Jeanine,2542085593,265,630,f,0,21,4596227171426026
华晨宇,2021-01-25 00:01:06+08:00,須須仙仔yu,7226834668,160,266,f,2005,7,4597043601095570
好开心呀，有了女儿的花花，你要更快乐呀,2021-01-22 18:09:07+08:00,李嗯嗯呀,3579955663,183,365,f,0,27,4596230246651141
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
哥哥，希望你月底出来一下，干嘛都行，我真的撑不住了，每晚都好想哭,2021-01-25 17:43:57+08:00,野原小炽yu,5544009282,432,220,f,1,11,4597311080760389
我永遠相信 選擇你 跟隨你 沒有錯 <a href='/n/华晨宇yu'>@华晨宇yu</a>,2021-01-25 17:00:11+08:00,隨意點點兔,6769070967,59,37,f,0,16,4597300062591546
你说，小宝贝治愈了你很多，她那么乖巧可爱懂事～我感到很高兴，因为你有贴心的小棉袄了,2021-01-22 23:21:14+08:00,紫璇情华,5983979849,206,408,f,0,17,4596308793636425
从现在开始，我们要守护三个人了。,2021-01-22 18:57:10+08:00,我不系小赖yu,5126734838,241,610,f,2,38,4596242343006959
你确实越来越有一脸老父亲样了,2021-01-22 18:34:54+08:00,胳膊比较长yu,3926822362,123,206,f,0,21,4596236734462143
宝贝！！真好！你找到了属于自己的幸福啊！你要开心！！！愿小孩健康成长呀！！！,2021-01-22 18:09:30+08:00,花旻小十,2633571560,353,333,f,0,18,4596230343376103
希望事实真如你们二人微博所说，有粉丝会包容你，但你也伤了很多粉丝的心，他们难过的不是你结婚生子，而是感觉你过往的一切都是人设，你懂这个感觉吗？我过去和别人证明“华晨宇真的很好”的理由之一就是没有黑料，没有被打脸过。但是现在，你到底有没有真正喜欢的人还是你营造的痴情只不过是人设？,2021-01-24 23:00:17+08:00,柚子上色会变橙子,3846032120,105,135,f,10,13,4597028300528997
火星很温暖的，你是火星的王，你的国一直都爱着你呢,2021-01-24 13:17:49+08:00,置置爱智障障,5500159168,230,441,f,0,11,4596881713795949
不是说好了不说谢谢吗,2021-01-23 04:06:38+08:00,疯批晴晴想回家yu,2064611837,943,764,f,0,17,4596380616622712
早呀,2021-01-27 10:00:53+08:00,眼里有星河鸦yu,6038471378,1089,194,m,1657,8,4597919318020430
1.26  快乐天空名下铁粉签到（补咔）,2021-01-27 01:08:22+08:00,快乐天空happysky_yu,3845428350,1971,558,f,8,8,4597785309217556
宝贝早上好呀,2021-01-24 06:48:36+08:00,烟火里的尘埃ff,6506905697,392,329,f,813,8,4596783764210221
1.23 快乐天空名下铁粉补咔,2021-01-24 05:16:55+08:00,快乐天空happysky_yu,3845428350,1971,558,f,8,9,4596760691083352
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
我曾经是一个抑郁症患者，听了你的歌，找回了我自己。 你是我的一道光，不管你人设是如何，但我依然喜欢你，因为只有你的歌能打动我，能唱进我心里，我能理解你的感受！ 微博删了几年了，为了把心里话说出来我又下载了微博。 告诉你，不管世界如何，我依然爱你，你的歌能给我带来力量。 加油,2021-01-24 18:36:30+08:00,蘇汏叔oO,2625531834,91,35,m,0,13,4596961912823454
大哥，现在留下来的都是钢丝球了，要不要考虑发新歌呀,2021-01-24 12:02:30+08:00,爱吃小华的小疯子yu,5219192002,11,115,f,1,12,4596862760001935
因为有你，我才从深渊走出，你不许走！一定好好的！我等着春暖花开！等着火星见！<a href='/n/华晨宇yu'>@华晨宇yu</a>,2021-01-24 02:21:40+08:00,-MENGNIU-,5036100289,384,135,f,2,10,4596716587976724
音乐 才华 人品 对生活的态度  哪个变了？并没有啊…… 他还是那个他，才华横溢当之无愧的歌王 他还是那个他，温柔善良有责任心有担当的男人。他还是那个他，不退缩不逃避不诉苦独自承担的他。所以，他没变，我凭什么不爱？ 此生唯一一个粉籍 我带定了 ，说好一直在，少一天我都不愿意。,2021-01-23 20:58:52+08:00,ET妞520,5271404862,88,233,f,4,16,4596635353491085
我也喜欢《斗牛》 可以做您女儿吗,2021-01-22 18:50:41+08:00,爱吃鱼的吉吉国王,5205173210,348,168,f,0,36,4596240707245956
哥，我真的好开心，你幸福我就很开心！虽然现在我连打字都是抖的！我会一直在！,2021-01-22 18:04:08+08:00,七重人格的疯人院病友媛,3844505201,223,310,f,1,30,4596228997005935
我们支持你,2021-01-22 17:58:10+08:00,BlackHua-,1811342882,456,372,f,0,31,4596227495168329
幸福就好啦,2021-01-27 16:46:07+08:00,华屁乡家的ET,6294190067,1458,205,f,250,10,4598021297547259
华晨宇,2021-01-27 13:17:21+08:00,須須仙仔yu,7226834668,160,266,f,1171,6,4597968760479358
孩子真的很治愈，别问我怎么知道的，问就是 我也有一个。享受亲子时光，你感觉到幸福，我们就都安心了。爱你，宝贝,2021-01-25 16:31:04+08:00,莫儿莫莫儿,7055183635,0,103,f,0,11,4597292735139632
早安大哥,2021-01-25 09:01:17+08:00,华晨宇的小巫婆,2879159890,456,177,f,101,12,4597179543455200
这次我最欣赏你的地方就是，不因为有了孩子就仓促结婚，对两个人不公平，对孩子更加是负担，责任当然要有，但爱情多么纯粹啊，爱情是人间最美的存在啊，永远不要放弃爱情啊，华晨宇，我希望你能完完整整的爱一次，大概就是那种，赌“琴”消得泼茶香，当时只道是寻常吧,2021-01-24 23:15:49+08:00,Steph妮yu花,1909315647,416,149,f,2,14,4597032209353268
图片评论,2021-01-23 14:59:03+08:00,落花时节又逢Yu,6357783631,51,112,f,1,17,4596544807110634
谢谢你愿意告诉我们 一直觉得你一个人太孤独了 希望你能和爱的人在一起生一个宝宝 但这步骤跨的有点大 因为我跟你一样，也是单亲家庭的孩子 所有感同身受有一个完整的假条是多么重要 希望你今后好好的爱小judy，好好地爱自己 我们也会好好爱你们,2021-01-22 20:39:24+08:00,吉吉cy,5834481917,245,318,f,0,16,4596268066945326
花花，你喝了米酒好可爱，我觉得那也是你的一面，自由随性癫狂,2021-01-25 17:29:48+08:00,花花要吃胖点呀,5620389383,26,626,f,0,12,4597307515342482
我更关注他的音乐作品,2021-01-25 08:37:09+08:00,野区温柔刀,2162761263,216,100,f,6,16,4597173469579451
我不管你谈没谈恋爱，结没结婚，生没生孩子，你在我眼里一直都是你，不存在任何外界因素。,2021-01-23 10:29:00+08:00,清涛瞳玲,7428485170,0,102,f,0,14,4596476842348353
我不喜欢他们议论你,2021-01-23 01:39:41+08:00,HCYACY,5633518456,242,182,f,1,18,4596343635707951
,2021-01-28 00:54:36+08:00,Ly橘zi,7419495122,0,20,f,0,0,4598144229446264
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
假,2021-01-28 00:55:15+08:00,沁心施主,5873793905,0,1,f,0,0,4598144392236660
,2021-01-28 00:54:23+08:00,CC超爱喝雪碧,6443027956,1,296,f,0,1,4598144174132825
,2021-01-28 00:54:18+08:00,CC超爱喝雪碧,6443027956,1,296,f,0,1,4598144158138543
,2021-01-28 00:54:13+08:00,CC超爱喝雪碧,6443027956,1,296,f,0,1,4598144136121137
晚安,2021-01-28 00:54:09+08:00,CC超爱喝雪碧,6443027956,1,296,f,0,1,4598144115937415
加油！,2021-01-28 00:53:52+08:00,潇潇想吃蛋糕,7304335037,0,7,f,0,0,4598144043852112
,2021-01-28 00:53:18+08:00,疯河游宇,2380520844,97,432,f,0,0,4598143905433673
我喜欢的，为什么都不喜欢我，我是不是天生都不该被人爱,2021-01-28 00:52:55+08:00,撩人的大兵兵958,6571194227,6,92,f,0,0,4598143809487268
全文中没有提到张碧晨的名字,2021-01-28 00:52:20+08:00,蛋蛋的公主46278,7076401864,10,99,f,0,1,4598143659022521
当我说我爱你 我爱你 我的宝贝,2021-01-28 00:51:58+08:00,疯河游宇,2380520844,97,432,f,0,0,4598143565697921
花花，这个晚上我的心好痛，好痛，好痛，我无处诉说,2021-01-28 00:51:55+08:00,撩人的大兵兵958,6571194227,6,92,f,0,0,4598143554164533
,2021-01-28 00:51:26+08:00,卷鹅什么时候可以再出现,7189700423,64,281,f,12,2,4598143435669649
,2021-01-28 00:51:22+08:00,卷鹅什么时候可以再出现,7189700423,64,281,f,0,0,4598143415491225
嗯嗯,2021-01-28 00:50:32+08:00,sevenseven42,5992808115,116,45,f,0,0,4598143205250453
